Cuenta,Año,Valor,NIT
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2023,$180.546,El cielo
Inventarios no corrientes,2023,0,El cielo
Activos por impuestos diferidos,2023,0,El cielo
"Activos por impuestos corrientes, no corriente",2023,0,El cielo
Otros activos financieros no corrientes,2023,0,El cielo
Otros activos no financieros no corrientes,2023,$33.534,El cielo
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2023,0,El cielo
Total de activos no corrientes,2023,$1.700.653,El cielo
Total Activos,2023,$4.670.034,El cielo
Provisiones corrientes por beneficios a los empleados,2023,$124.917,El cielo
Otras provisiones corrientes,2023,0,El cielo
Total provisiones corrientes,2023,$124.917,El cielo
Cuentas por pagar comerciales y otras cuentas por pagar corrientes,2023,$508.349,El cielo
"Pasivos por impuestos corrientes, corriente",2023,$1.377.293,El cielo
Otros pasivos financieros corrientes,2023,$19.854,El cielo
Préstamos corrientes,2023,$19.854,El cielo
Parte corriente de préstamos no corrientes,2023,0,El cielo
Otros pasivos no financieros corrientes,2023,$23.579,El cielo
Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,$2.053.992,El cielo
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,0,El cielo
Pasivos corrientes totales,2023,$2.053.992,El cielo
Provisiones no corrientes por beneficios a los empleados,2023,0,El cielo
Otras provisiones no corrientes,2023,0,El cielo
Total provisiones no corrientes,2023,0,El cielo
Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,2023,0,El cielo
Pasivo por impuestos diferidos,2023,0,El cielo
"Pasivos por impuestos corrientes, no corriente",2023,0,El cielo
Otros pasivos financieros no corrientes,2023,$185.114,El cielo
Parte no corriente de préstamos no corrientes,2023,$185.114,El cielo
Otros pasivos no financieros no corrientes,2023,0,El cielo
Total de pasivos no corrientes,2023,$185.114,El cielo
Total pasivos,2023,$2.239.106,El cielo
Capital emitido,2023,$507.109,El cielo
Prima de emisión,2023,$127.670,El cielo
Acciones propias en cartera,2023,0,El cielo
Inversión suplementaria al capital asignado,2023,0,El cielo
Otras participaciones en el patrimonio,2023,0,El cielo
Superavit por revaluación,2023,0,El cielo
Otras reservas,2023,$547.871,El cielo
Ganancias acumuladas,2023,$1.248.278,El cielo
Patrimonio Total,2023,$2.430.928,El cielo
Total de patrimonio y pasivos,2023,$4.670.034,El cielo
Cuentas,2024,0,Frisby
Efectivo y equivalentes al efectivo,2024,$44.722.595,Frisby
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,2024,$5.513.442,Frisby
Inventarios corrientes,2024,$29.603.192,Frisby
"Activos por impuestos corrientes, corriente",2024,$2.377.236,Frisby
"Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor",2024,$0,Frisby
"Activos biológicos corrientes, al valor razonable",2024,$0,Frisby
Otros activos financieros corrientes,2024,$0,Frisby
Otros activos no financieros corrientes,2024,$3.163.780,Frisby
Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2024,$0,Frisby
Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,$85.380.245,Frisby
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,$0,Frisby
Activos corrientes totales,2024,$85.380.245,Frisby
"Propiedades, planta y equipo",2024,$133.025.513,Frisby
Propiedades de inversión al costo menos depreciación acumulada y deterioro,2024,$0,Frisby
Propiedades de inversión a valor razonable con cambios en resultados,2024,$48.296.075,Frisby
Plusvalía,2024,$0,Frisby
Activos intangibles distintos de la plusvalía,2024,$92.076,Frisby
"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor",2024,$0,Frisby
"Activos biológicos no corrientes, al valor razonable",2024,$0,Frisby
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2024,$16.742.274,Frisby
Inventarios no corrientes,2024,$0,Frisby
Activos por impuestos diferidos,2024,$31.235,Frisby
"Activos por impuestos corrientes, no corriente",2024,$0,Frisby
Otros activos financieros no corrientes,2024,$19.230.494,Frisby
Otros activos no financieros no corrientes,2024,$0,Frisby
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2024,$0,Frisby
Total de activos no corrientes,2024,$217.417.667,Frisby
Total Activos,2024,$302.797.912,Frisby
Provisiones corrientes por beneficios a los empleados,2024,$22.350.040,Frisby
Otras provisiones corrientes,2024,0,Frisby
Total provisiones corrientes,2024,$22.350.040,Frisby
Cuentas por pagar comerciales y otras cuentas por pagar corrientes,2024,$42.875.311,Frisby
"Pasivos por impuestos corrientes, corriente",2024,$15.135.552,Frisby
Otros pasivos financieros corrientes,2024,$1.496.479,Frisby
Préstamos corrientes,2024,$1.496.479,Frisby
Parte corriente de préstamos no corrientes,2024,0,Frisby
Otros pasivos no financieros corrientes,2024,$32.217.090,Frisby
Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2024,$114.074.472,Frisby
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2024,0,Frisby
Pasivos corrientes totales,2024,$114.074.472,Frisby
Provisiones no corrientes por beneficios a los empleados,2024,0,Frisby
Otras provisiones no corrientes,2024,0,Frisby
Total provisiones no corrientes,2024,0,Frisby
Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,2024,0,Frisby
Pasivo por impuestos diferidos,2024,$14.075.506,Frisby
"Pasivos por impuestos corrientes, no corriente",2024,0,Frisby
Otros pasivos financieros no corrientes,2024,$67.728.809,Frisby
Parte no corriente de préstamos no corrientes,2024,$67.728.809,Frisby
Otros pasivos no financieros no corrientes,2024,0,Frisby
Total de pasivos no corrientes,2024,$81.804.315,Frisby
Total pasivos,2024,$195.878.787,Frisby
Capital emitido,2024,$950.000,Frisby
Prima de emisión,2024,0,Frisby
Acciones propias en cartera,2024,0,Frisby
Inversión suplementaria al capital asignado,2024,0,Frisby
Otras participaciones en el patrimonio,2024,0,Frisby
Superavit por revaluación,2024,0,Frisby
Otras reservas,2024,$570.873,Frisby
Ganancias acumuladas,2024,$105.398.252,Frisby
Patrimonio Total,2024,$106.919.125,Frisby
Total de patrimonio y pasivos,2024,$302.797.912,Frisby
Cuentas,2023,0,Frisby
Efectivo y equivalentes al efectivo,2023,$40.585.061,Frisby
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,2023,$4.380.046,Frisby
Inventarios corrientes,2023,$28.213.703,Frisby
"Activos por impuestos corrientes, corriente",2023,$1.167.724,Frisby
"Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor",2023,$0,Frisby
"Activos biológicos corrientes, al valor razonable",2023,$0,Frisby
Otros activos financieros corrientes,2023,0,Frisby
Otros activos no financieros corrientes,2023,$2.237.733,Frisby
Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2023,$0,Frisby
Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2023,$76.584.267,Frisby
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2023,0,Frisby
Activos corrientes totales,2023,$76.584.267,Frisby
"Propiedades, planta y equipo",2023,$126.381.584,Frisby
Propiedades de inversión al costo menos depreciación acumulada y deterioro,2023,$0,Frisby
Propiedades de inversión a valor razonable con cambios en resultados,2023,$43.561.469,Frisby
Plusvalía,2023,$0,Frisby
Activos intangibles distintos de la plusvalía,2023,$579.346,Frisby
"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor",2023,$0,Frisby
"Activos biológicos no corrientes, al valor razonable",2023,$0,Frisby
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2023,$12.608.125,Frisby
Inventarios no corrientes,2023,$0,Frisby
Activos por impuestos diferidos,2023,$1.208.569,Frisby
"Activos por impuestos corrientes, no corriente",2023,$0,Frisby
Otros activos financieros no corrientes,2023,$19.230.494,Frisby
Otros activos no financieros no corrientes,2023,$0,Frisby
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2023,$0,Frisby
Total de activos no corrientes,2023,$203.569.587,Frisby
Total Activos,2023,$280.153.854,Frisby
Provisiones corrientes por beneficios a los empleados,2023,$19.151.800,Frisby
Otras provisiones corrientes,2023,$0,Frisby
Total provisiones corrientes,2023,$19.151.800,Frisby
Cuentas por pagar comerciales y otras cuentas por pagar corrientes,2023,$41.110.051,Frisby
"Pasivos por impuestos corrientes, corriente",2023,$11.371.521,Frisby
Otros pasivos financieros corrientes,2023,$294.146,Frisby
Préstamos corrientes,2023,$294.146,Frisby
Parte corriente de préstamos no corrientes,2023,0,Frisby
Otros pasivos no financieros corrientes,2023,$27.858.736,Frisby
Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,$99.786.254,Frisby
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,0,Frisby
Pasivos corrientes totales,2023,$99.786.254,Frisby
Provisiones no corrientes por beneficios a los empleados,2023,0,Frisby
Otras provisiones no corrientes,2023,0,Frisby
Total provisiones no corrientes,2023,0,Frisby
Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,2023,0,Frisby
Pasivo por impuestos diferidos,2023,$11.934.220,Frisby
"Pasivos por impuestos corrientes, no corriente",2023,0,Frisby
Otros pasivos financieros no corrientes,2023,$80.795.722,Frisby
Parte no corriente de préstamos no corrientes,2023,$80.795.722,Frisby
Otros pasivos no financieros no corrientes,2023,0,Frisby
Total de pasivos no corrientes,2023,$92.729.942,Frisby
Total pasivos,2023,$192.516.196,Frisby
Capital emitido,2023,$950.000,Frisby
Prima de emisión,2023,0,Frisby
Acciones propias en cartera,2023,0,Frisby
Inversión suplementaria al capital asignado,2023,0,Frisby
Otras participaciones en el patrimonio,2023,0,Frisby
Superavit por revaluación,2023,0,Frisby
Otras reservas,2023,$570.873,Frisby
Ganancias acumuladas,2023,$86.116.785,Frisby
Patrimonio Total,2023,$87.637.658,Frisby
Total de patrimonio y pasivos,2023,$280.153.854,Frisby
Cuentas,2024,0,Crepes & Waffles
Efectivo y equivalentes al efectivo,2024,$31.274.402,Crepes & Waffles
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,2024,$29.079.441,Crepes & Waffles
Inventarios corrientes,2024,$20.933.423,Crepes & Waffles
"Activos por impuestos corrientes, corriente",2024,$26.794.555,Crepes & Waffles
Activos biológicos corrientes,2024,0,Crepes & Waffles
Otros activos financieros corrientes,2024,$164.640.817,Crepes & Waffles
Otros activos no financieros corrientes,2024,0,Crepes & Waffles
Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2024,0,Crepes & Waffles
Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,$272.722.638,Crepes & Waffles
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,0,Crepes & Waffles
Activos corrientes totales,2024,$272.722.638,Crepes & Waffles
Propiedad de inversión,2024,0,Crepes & Waffles
"Propiedades, planta y equipo",2024,$312.275.845,Crepes & Waffles
Plusvalía,2024,0,Crepes & Waffles
Activos intangibles distintos de la plusvalía,2024,$197.967,Crepes & Waffles
Activos biológicos no corrientes,2024,0,Crepes & Waffles
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2024,0,Crepes & Waffles
Inventarios no corrientes,2024,0,Crepes & Waffles
Activos por impuestos diferidos,2024,$67.561.795,Crepes & Waffles
"Activos por impuestos corrientes, no corriente",2024,0,Crepes & Waffles
Otros activos financieros no corrientes,2024,0,Crepes & Waffles
Otros activos no financieros no corrientes,2024,0,Crepes & Waffles
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,2024,0,Crepes & Waffles
Total de activos no corrientes,2024,$380.035.607,Crepes & Waffles
Total Activos,2024,$652.758.245,Crepes & Waffles
Provisiones corrientes por beneficios a los empleados,2024,$12.113.321,Crepes & Waffles
Otras provisiones corrientes,2024,0,Crepes & Waffles
Total provisiones corrientes,2024,$12.113.321,Crepes & Waffles
Cuentas por pagar comerciales y otras cuentas por pagar corrientes,2024,$161.899.098,Crepes & Waffles
"Pasivos por impuestos corrientes, corriente",2024,$26.379.683,Crepes & Waffles
Otros pasivos financieros corrientes,2024,$56.371.863,Crepes & Waffles
Otros pasivos no financieros corrientes,2024,$14.928.150,Crepes & Waffles
